name,parameters
tf_efficientnet_b0,4020358
tf_efficientnet_b1,6525994
tf_efficientnet_b2,7715084
tf_efficientnet_b3,10711602
tf_efficientnet_b4,17566546
tf_efficientnet_b5,28361274
tf_efficientnet_b6,40758754
tf_efficientnet_b7,63812570
tf_efficientnet_b8,84624312
tf_efficientnet_cc_b0_4e,12045926
tf_efficientnet_cc_b0_8e,22745094
tf_efficientnet_cc_b1_8e,38447778
tf_efficientnet_el,9068082
tf_efficientnet_em,5631306
tf_efficientnet_es,4170202
tf_efficientnet_l2,474859358
tf_efficientnet_lite0,3383818
tf_efficientnet_lite1,4148490
tf_efficientnet_lite2,4823882
tf_efficientnet_lite3,6928906
tf_efficientnet_lite4,11738378
tf_efficientnetv2_b0,5871514
tf_efficientnetv2_b1,6872862
tf_efficientnetv2_b2,8701176
tf_efficientnetv2_b3,12836776
tf_efficientnetv2_l,117247082
tf_efficientnetv2_m,52871166
tf_efficientnetv2_s,20190298
tf_efficientnetv2_xl,206851618
tf_mixnet_l,5807622
tf_mixnet_m,3492752
tf_mixnet_s,2612976
tf_mobilenetv3_large_075,2725338
tf_mobilenetv3_large_100,4214842
tf_mobilenetv3_large_minimal_100,2656098
tf_mobilenetv3_small_075,1027122
tf_mobilenetv3_small_100,1528106
tf_mobilenetv3_small_minimal_100,1029986
tiny_vit_5m_224,5074974
tiny_vit_11m_224,10552462
tiny_vit_21m_224,20627338
tiny_vit_21m_384,20659258
tiny_vit_21m_512,20696890
tinynet_a,4919782
tinynet_b,2462372
tinynet_c,1189044
tinynet_d,1070256
tinynet_e,774782
tnt_b_patch16_224,64772010
tnt_s_patch16_224,23374186
tresnet_l,53580586
tresnet_m,29360522
tresnet_v2_l,44146314
tresnet_xl,75805814
twins_pcpvt_base,43320586
twins_pcpvt_large,60481802
twins_pcpvt_small,23598346
twins_svt_base,55309642
twins_svt_large,98256650
twins_svt_small,23552906
vgg11,128807306
vgg11_bn,128812810
vgg13,128991818
vgg13_bn,128997706
vgg16,134301514
vgg16_bn,134309962
vgg19,139611210
vgg19_bn,139622218
visformer_small,39458282
visformer_tiny,9940218
vit_base_patch8_224,85815562
vit_base_patch14_dinov2,86587402
vit_base_patch14_reg4_dinov2,86589706
vit_base_patch16_18x2_224,255970570
vit_base_patch16_224,85806346
vit_base_patch16_224_miil,85778698
vit_base_patch16_384,86098186
vit_base_patch16_clip_224,85807114
vit_base_patch16_clip_384,86098954
vit_base_patch16_clip_quickgelu_224,85807114
vit_base_patch16_gap_224,85804810
vit_base_patch16_plus_240,116669962
vit_base_patch16_reg8_gap_256,85857034
vit_base_patch16_rpn_224,85777162
vit_base_patch16_siglip_224,92891914
vit_base_patch16_siglip_256,92937994
vit_base_patch16_siglip_384,93183754
vit_base_patch16_siglip_512,93527818
vit_base_patch16_xp_224,85751050
vit_base_patch32_224,87462922
vit_base_patch32_384,87535882
vit_base_patch32_clip_224,87463690
vit_base_patch32_clip_256,87475210
vit_base_patch32_clip_384,87536650
vit_base_patch32_clip_448,87576586
vit_base_patch32_clip_quickgelu_224,87463690
vit_base_patch32_plus_256,118590090
vit_base_r26_s32_224,100622666
vit_base_r50_s16_224,97897802
vit_base_r50_s16_384,98189642
vit_base_resnet26d_224,100641898
vit_base_resnet50d_224,110203754
vit_giant_patch14_224,1011216522
vit_giant_patch14_clip_224,1011217930
vit_giant_patch14_dinov2,1136494602
vit_giant_patch14_reg4_dinov2,1136499210
vit_giant_patch16_gap_224,1011382666
vit_gigantic_patch14_224,1842792330
vit_gigantic_patch14_clip_224,1842793994
vit_huge_patch14_224,630777610
vit_huge_patch14_clip_224,630778890
vit_huge_patch14_clip_336,631188490
vit_huge_patch14_clip_378,631384330
vit_huge_patch14_clip_quickgelu_224,630778890
vit_huge_patch14_clip_quickgelu_378,631384330
vit_huge_patch14_gap_224,630775050
vit_huge_patch14_xp_224,630534410
vit_huge_patch16_gap_448,631681290
vit_large_patch14_224,303189002
vit_large_patch14_clip_224,303190026
vit_large_patch14_clip_336,303517706
vit_large_patch14_clip_quickgelu_224,303190026
vit_large_patch14_clip_quickgelu_336,303517706
vit_large_patch14_dinov2,304377866
vit_large_patch14_reg4_dinov2,304380938
vit_large_patch14_xp_224,303042570
vit_large_patch16_224,303311882
vit_large_patch16_384,303701002
vit_large_patch16_siglip_256,315966474
vit_large_patch16_siglip_384,316294154
vit_large_patch32_224,305520650
vit_large_patch32_384,305617930
vit_large_r50_s32_224,327980106
vit_large_r50_s32_384,328077386
vit_medium_patch16_gap_240,38337546
vit_medium_patch16_gap_256,38353418
vit_medium_patch16_gap_384,38517258
vit_medium_patch16_reg4_256,38362122
vit_medium_patch16_reg4_gap_256,38361610
vit_relpos_base_patch16_224,85668250
vit_relpos_base_patch16_cls_224,85669018
vit_relpos_base_patch16_clsgap_224,85669018
vit_relpos_base_patch16_plus_240,116492850
vit_relpos_base_patch16_rpn_224,85649818
vit_relpos_base_patch32_plus_rpn_256,118535730
vit_relpos_medium_patch16_224,38239338
vit_relpos_medium_patch16_cls_224,38256746
vit_relpos_medium_patch16_rpn_224,38227050
vit_relpos_small_patch16_224,21602770
vit_relpos_small_patch16_rpn_224,21593554
vit_small_patch8_224,21674122
vit_small_patch14_dinov2,22060042
vit_small_patch14_reg4_dinov2,22061194
vit_small_patch16_18x2_224,64284298
vit_small_patch16_36x1_224,64284298
vit_small_patch16_224,21669514
vit_small_patch16_384,21815434
vit_small_patch32_224,22497802
vit_small_patch32_384,22534282
vit_small_r26_s32_224,36050762
vit_small_r26_s32_384,36087242
vit_small_resnet26d_224,62847082
vit_small_resnet50d_s16_224,56770666
vit_so400m_patch14_siglip_224,427692234
vit_so400m_patch14_siglip_384,428237130
vit_srelpos_medium_patch16_224,38227986
vit_srelpos_small_patch16_224,21592336
vit_tiny_patch16_224,5526346
vit_tiny_patch16_384,5599306
vit_tiny_r_s16_p8_224,6146634
vit_tiny_r_s16_p8_384,6164874
volo_d1_224,25869740
volo_d1_384,26015660
volo_d2_224,57662596
volo_d2_384,57857156
volo_d3_224,85309332
volo_d3_448,85610388
volo_d4_224,191438900
volo_d4_448,191890484
volo_d5_224,293932964
volo_d5_448,294384548
volo_d5_512,294568868
vovnet39a,21585546
