2024-10-17 12:20:40,923 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.5693523431646412, accuracy: 0.7609361939258846
2024-10-17 12:20:41,505 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.6011395659939996, accuracy: 0.7433825578155475
2024-10-17 12:20:41,567 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.6618018571672768, accuracy: 0.653106714962385
2024-10-17 12:20:41,601 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.5596132247612394, accuracy: 0.7667874059626637
2024-10-17 12:20:41,875 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.5680127431606424, accuracy: 0.7411535246586793
2024-10-17 12:20:42,114 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.5737307570103941, accuracy: 0.7556422401783226
2024-10-17 12:20:42,468 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6663480873765617, accuracy: 0.7277793257174701
2024-10-17 12:20:53,232 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 5] Training on 5 results: loss: 0.44649979947456, accuracy: 0.8144329896907216
2024-10-17 12:20:53,352 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 3] Training on 3 results: loss: 0.4787064556931627, accuracy: 0.7938144329896907
2024-10-17 12:20:53,854 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 2] Training on 2 results: loss: 0.5966682834871884, accuracy: 0.6965728615213151
2024-10-17 12:20:53,901 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 7] Training on 7 results: loss: 0.5712998653280323, accuracy: 0.7687378099749234
2024-10-17 12:20:54,011 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 6] Training on 6 results: loss: 0.443853325114168, accuracy: 0.8255781554750626
2024-10-17 12:20:54,175 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 4] Training on 4 results: loss: 0.4904754038514762, accuracy: 0.7882418500975202
2024-10-17 12:20:54,518 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 1] Training on 1 results: loss: 0.4831302696517829, accuracy: 0.7924212872666481
2024-10-17 12:20:54,896 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 0] Training on 0 results: loss: 0.562921397644898, accuracy: 0.7695736974087489
2024-10-17 12:21:05,397 - model_logger - INFO - [ITERATION 2 | EPOCH 3 | NODE 5] Training on 5 results: loss: 0.3796277925500582, accuracy: 0.8431317915853999
2024-10-17 12:21:05,808 - model_logger - INFO - [ITERATION 2 | EPOCH 3 | NODE 3] Training on 3 results: loss: 0.4182468373649593, accuracy: 0.8225132348843689
2024-10-17 12:21:05,944 - model_logger - INFO - [ITERATION 2 | EPOCH 3 | NODE 2] Training on 2 results: loss: 0.5609954420862526, accuracy: 0.7216494845360825
2024-10-17 12:21:06,163 - model_logger - INFO - [ITERATION 2 | EPOCH 3 | NODE 7] Training on 7 results: loss: 0.4982127460554756, accuracy: 0.7823906380607412
2024-10-17 12:21:06,188 - model_logger - INFO - [ITERATION 2 | EPOCH 3 | NODE 6] Training on 6 results: loss: 0.37574182360850533, accuracy: 0.8570632488158262
2024-10-17 12:21:06,261 - model_logger - INFO - [ITERATION 2 | EPOCH 3 | NODE 4] Training on 4 results: loss: 0.4249361802277894, accuracy: 0.8180551685706325
2024-10-17 12:21:06,507 - model_logger - INFO - [ITERATION 2 | EPOCH 3 | NODE 1] Training on 1 results: loss: 0.43015607754732, accuracy: 0.8169406519921983
2024-10-17 12:21:06,576 - model_logger - INFO - [ITERATION 2 | EPOCH 3 | NODE 0] Training on 0 results: loss: 0.4777659960091114, accuracy: 0.8069100027862914
2024-10-17 12:22:16,209 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.2777081183318435, accuracy: 0.6244079130677069
2024-10-17 12:22:16,412 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.8386205558119149, accuracy: 0.6221788799108386
2024-10-17 12:22:16,571 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7856616860833662, accuracy: 0.7252716634159934
2024-10-17 12:22:16,652 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.7163165201400888, accuracy: 0.7341877960434662
2024-10-17 12:22:17,247 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.7805375652066593, accuracy: 0.7110615770409585
2024-10-17 12:22:17,341 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.7274715787377851, accuracy: 0.7241571468375592
2024-10-17 12:22:17,407 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.1310670478590603, accuracy: 0.636667595430482
2024-10-17 12:22:17,870 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.8425545163195709, accuracy: 0.7347450543326832
2024-10-17 12:22:28,644 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6938589097097002, accuracy: 0.7079966564502647
